_id,name,rel,customer,newCol1,newCol2,status,orderType,config,platform,accType,testedBy,submissionReason,reqDate,submissionDate,startDate,endDate,rolloverDate,rolloverDays,rolloverDaysH,waitingDays,waitingDaysH,testingDays,testingDaysH,reportNo,releaseDate,reviewedBy,codeCompare,newFW,tBugs,is_delete,user_id,date,__v
66ff8d975fd9b4586d6032c8,nLo028.01,1.0,TPCL,TPCL,0,Exp Next Itr,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,BCP,bug fixed,2023-11-02T00:00:00.000Z,2023-12-19T00:00:00.000Z,2023-12-28T00:00:00.000Z,2024-01-03T00:00:00.000Z,2024-01-05T00:00:00.000Z,2.0,2.0,10.0,5.0,7.0,5.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d6032c8,0,0
66ff8d975fd9b4586d6032c9,CBO012.00,2.0,Intellismart,DGVCL,0,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,DK,bug fixed,2023-11-30T00:00:00.000Z,2023-12-20T00:00:00.000Z,2023-12-25T00:00:00.000Z,2023-12-26T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,6.0,3.0,2.0,2.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d6032c9,0,0
66ff8d975fd9b4586d6032ca,RH21.00,1.0,Intellismart,PVVNL,0,Subs Itr rel,DLMS Order,"1PH  LPR 10-60A,  Cl.1.0",CYGNUS,SMART,AVM,bug fixed,2023-10-31T00:00:00.000Z,2023-12-22T00:00:00.000Z,2023-12-27T00:00:00.000Z,2023-12-28T00:00:00.000Z,2024-01-02T00:00:00.000Z,5.0,3.0,6.0,3.0,2.0,2.0,0,1970-01-01T00:00:00.000Z,SS,0,0,0.0,False,66ff8d975fd9b4586d6032ca,0,0
66ff8d975fd9b4586d6032cb,CBO00800,9.0,Intellismart,PVVNL ,0,Exp Next Itr,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,San,Bug Fixed,2023-06-20T00:00:00.000Z,2023-12-25T00:00:00.000Z,2023-12-25T00:00:00.000Z,2023-12-26T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,1.0,0.0,2.0,1.0,0,1970-01-01T00:00:00.000Z,BHR,0,0,0.0,False,66ff8d975fd9b4586d6032cb,0,0
66ff8d975fd9b4586d6032cc,5HD22.72,0.0,ESP,WR300BB11ABTRR4 ,0,Subs Itr rel,DLMS Order,3P4W 63.5V 5-10A Cl 0.2 Opt + RS232,SEM N2,TVM HT 0.2,DK,CR change and checklist,2023-11-30T00:00:00.000Z,2023-11-30T00:00:00.000Z,2023-12-21T00:00:00.000Z,2023-12-22T00:00:00.000Z,2023-12-26T00:00:00.000Z,4.0,0.0,22.0,15.0,2.0,1.0,0,1970-01-01T00:00:00.000Z,SS,0,0,0.0,False,66ff8d975fd9b4586d6032cc,0,0
66ff8d975fd9b4586d6032cd,CAO0040,6.0,TPCL,TPCL,0,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,San,Field issue fixed,2023-12-25T00:00:00.000Z,2023-12-25T00:00:00.000Z,2023-12-28T00:00:00.000Z,2023-12-29T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,4.0,1.0,2.0,2.0,QER-108853(1),2024-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d6032cd,0,0
66ff8d975fd9b4586d6032ce,RH18.01,1.0,Intellismart,SBPDCL,0,Exp Next Itr,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,BHR,CR changes,2023-12-19T00:00:00.000Z,2023-12-27T00:00:00.000Z,2023-12-27T00:00:00.000Z,2024-01-01T00:00:00.000Z,2024-01-08T00:00:00.000Z,7.0,5.0,1.0,0.0,6.0,4.0,0,1970-01-01T00:00:00.000Z,AM,0,0,0.0,False,66ff8d975fd9b4586d6032ce,0,0
66ff8d975fd9b4586d6032cf,RH29.00,1.0,BCITS,Indore,0,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SS,New firmware,2023-12-28T00:00:00.000Z,2023-12-28T00:00:00.000Z,2024-01-01T00:00:00.000Z,2024-01-04T00:00:00.000Z,2024-01-05T00:00:00.000Z,1.0,1.0,5.0,2.0,4.0,4.0,0,1970-01-01T00:00:00.000Z,AVM,0,yes,0.0,False,66ff8d975fd9b4586d6032cf,0,0
66ff8d975fd9b4586d6032d0,COC53.00 ,0.0,TANGEDCO ,TANGEDCO ,0,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,VK,New firmware,2023-12-29T00:00:00.000Z,2023-12-29T00:00:00.000Z,2024-01-01T00:00:00.000Z,2024-01-10T00:00:00.000Z,2024-01-18T00:00:00.000Z,8.0,3.0,4.0,1.0,10.0,6.0,0,1970-01-01T00:00:00.000Z,SAN,0,yes,0.0,False,66ff8d975fd9b4586d6032d0,0,0
66ff8d975fd9b4586d6032d1,UC20.00,2.0,ESP,WM101BC7DGOA ,0,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",MERCURY,ENM,AVM,Bug fixed,2023-11-12T00:00:00.000Z,2024-01-02T00:00:00.000Z,2024-01-02T00:00:00.000Z,2024-01-03T00:00:00.000Z,2024-01-04T00:00:00.000Z,1.0,1.0,1.0,0.0,2.0,2.0,0,1970-01-01T00:00:00.000Z,SS,0,0,0.0,False,66ff8d975fd9b4586d6032d1,0,0
