name,rel,customer,newCol1,newCol2,status,orderType,config,platform,accType,testedBy,submissionReason,reqDate,submissionDate,startDate,endDate,rolloverDate,rolloverDays,rolloverDaysH,waitingDays,waitingDaysH,testingDays,testingDaysH,reportNo,releaseDate,reviewedBy,codeCompare,newFW,tBugs,is_delete,user_id,date,__v
nLo028.01,1,TPCL,TPCL,,Exp Next Itr,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,BCP,bug fixed,2023-11-02,2023-12-19,2023-12-28,2024-01-03,2024-01-05,2,2.0,10,5.0,7.0,5.0,,,,,,,False,,,0
CBO012.00,2,Intellismart,DGVCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,DK,bug fixed,2023-11-30,2023-12-20,2023-12-25,2023-12-26,,-45286,,6,3.0,2.0,2.0,,,,,,,False,,,0
RH21.00,1,Intellismart,PVVNL,,Subs Itr rel,DLMS Order,"1PH  LPR 10-60A,  Cl.1.0",CYGNUS,SMART,AVM,bug fixed,2023-10-31,2023-12-22,2023-12-27,2023-12-28,2024-01-02,5,3.0,6,3.0,2.0,2.0,,,SS,,,,False,,,0
CBO00800,9,Intellismart,PVVNL ,,Exp Next Itr,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,San,Bug Fixed,2023-06-20,2023-12-25,2023-12-25,2023-12-26,,-45286,,1,0.0,2.0,1.0,,,BHR,,,,False,,,0
5HD22.72,0,ESP,WR300BB11ABTRR4 ,,Subs Itr rel,DLMS Order,3P4W 63.5V 5-10A Cl 0.2 Opt + RS232,SEM N2,TVM HT 0.2,DK,CR change and checklist,2023-11-30,2023-11-30,2023-12-21,2023-12-22,2023-12-26,4,,22,15.0,2.0,1.0,,,SS,,,,False,,,0
CAO0040,6,TPCL,TPCL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,San,Field issue fixed,2023-12-25,2023-12-25,2023-12-28,2023-12-29,,-45289,,4,1.0,2.0,2.0,QER-108853(1),2024-01-01,,,,,False,,,0
RH18.01,1,Intellismart,SBPDCL,,Exp Next Itr,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,BHR,CR changes,2023-12-19,2023-12-27,2023-12-27,2024-01-01,2024-01-08,7,5.0,1,0.0,6.0,4.0,,,AM,,,,False,,,0
RH29.00,1,BCITS,Indore,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SS,New firmware,2023-12-28,2023-12-28,2024-01-01,2024-01-04,2024-01-05,1,1.0,5,2.0,4.0,4.0,,,AVM,,yes,,False,,,0
COC53.00 ,0,TANGEDCO ,TANGEDCO ,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,VK,New firmware,2023-12-29,2023-12-29,2024-01-01,2024-01-10,2024-01-18,8,3.0,4,1.0,10.0,6.0,,,SAN,,yes,,False,,,0
UC20.00,2,ESP,WM101BC7DGOA ,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",MERCURY,ENM,AVM,Bug fixed,2023-11-12,2024-01-02,2024-01-02,2024-01-03,2024-01-04,1,1.0,1,0.0,2.0,2.0,,,SS,,,,False,,,0
2JB09.44 ,0,MSEDCL,MSEDCL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 20-100A,TT,TVM LT WC,BHR,New firmware,2024-01-02,2024-01-02,2024-01-03,2024-01-08,2024-01-16,8,5.0,2,1.0,6.0,4.0,QER-108413(3),2024-03-01,AVM,,yes,,False,,,0
CAO0010200,0,TPNODL,TPNODL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,BHR,Energy rollover correction for field meter,2024-01-03,2024-01-03,2024-01-03,2024-01-03,,-45294,,1,1.0,1.0,1.0,QER- 108770(2),2024-01-03,,yes,,,False,,,0
RB85.00,0,TPDDL,TPDDL,,Exp Next Itr,DLMS Tender,"1Ph 10-60A , Cl.1.0",1Ph(RL+),ENM,BCP,New firmware,2024-01-03,2024-01-03,2024-01-04,2024-01-09,,-45300,,2,1.0,6.0,4.0,,,AVM,,yes,,False,,,0
CTC92.00 ,0,TPADL,TPADL,,Exp Next Itr,DLMS Tender, 3P4W LTWC Cl 1.0 20-100A,SFF,TVM LT WC,San,New firmware,2024-01-03,2024-01-03,2024-01-03,2024-01-08,,-45299,,1,0.0,6.0,4.0,,,AVM,,yes,,False,,,0
RH21.00,2,Intellismart,PVVNL ,,Subs Itr rel,DLMS Order,"1PH  LPR 10-60A,  Cl.1.0",CYGNUS,SMART,AM,Process related change,2023-10-31,2024-01-03,2024-01-03,2024-01-03,,-45294,,1,0.0,1.0,0.5,,,,yes,,,False,,,0
nLo030.00,0,Techno,MPPKVVCL Indore ,(w/o DI),Subs Itr rel,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,BHR,New firmware,2024-01-04,2024-01-04,2024-01-09,2024-01-11,2024-01-16,5,3.0,6,3.0,3.0,3.0,,,VK,,yes,,False,,,0
nLo031.00,0,Techno,MPPKVVCL Indore ,DI,Subs Itr rel,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,AVM,New firmware,2024-01-04,2024-01-04,2024-01-05,2024-01-10,2024-01-12,2,2.0,2,1.0,6.0,4.0,,,SAN,,yes,,False,,,0
UR06.00,0,ESP,MePDCL ,,Released,DLMS Order,"1Ph 5-30A , Cl.1.0",MERCURY,ENM,San,Platform conversion ,2024-01-05,2024-01-05,2024-01-12,2024-01-16,2024-01-17,1,1.0,8,4.0,5.0,3.0,QER 109135,2024-06-14,AVM,,,,False,,,0
RH20.00,1,Intellismart,SBPDCL,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SS,Bug fixed,2023-10-06,2024-01-05,2024-01-09,2024-01-12,,-45303,,5,2.0,4.0,4.0,,,,,,,False,,,0
RH23.00,2,Intellismart, PVVNL,,On Hold,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,AM,Bug fixing,2023-10-06,2024-01-05,2024-01-08,,,0,,4,1.0,-45298.0,,,,,,,,False,,,0
UC20.00,3,ESP,WM101BC7DGOA ,,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",MERCURY,ENM,AVM,Hardware Bug fixed,2023-11-12,2024-01-08,2024-01-08,2024-01-10,,-45301,,1,0.0,3.0,2.0,QER-108987,2024-01-10,BCP,,,,False,,,0
CAO01200,0,TPCL,TPCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AVM,Energy rollover correction +New EPROM,2024-01-08,2024-01-08,2024-01-11,2024-01-12,2024-01-16,4,2.0,4,2.0,2.0,4.0,,,SS,,,,False,,,0
